mean_score,max_score,steps
0.0,0.0,161
0.0,0.0,317
0.0,0.0,479
0.0,0.0,639
0.0,0.0,794
0.0,0.0,957
0.0,0.0,1117
0.0,0.0,1278
0.0,0.0,1438
0.0,0.0,1599
0.0,0.0,1762
0.0,0.0,1924
0.0,0.0,2083
0.0,0.0,2255
0.0,0.0,2413
0.0,0.0,2572
0.0,0.0,2737
0.0,0.0,2897
0.0,0.0,3056
0.0,0.0,3216
0.0,0.0,3378
0.0,0.0,3542
0.0,0.0,3707
0.0,0.0,3864
0.0,0.0,4027
0.0,0.0,4184
0.0,0.0,4350
0.0,0.0,4517
0.0,0.0,4675
0.0,0.0,4835
0.0,0.0,4996
0.1,1.0,5205
0.1,1.0,5372
0.2,1.0,5605
0.2,1.0,5761
0.2,1.0,5930
0.3,1.0,6156
0.3,1.0,6320
0.4,1.0,6537
0.6,2.0,6800
0.6,2.0,6966
0.7,2.0,7227
0.9,2.0,7493
0.8,2.0,7654
1.1,3.0,7985
1.3,3.0,8248
1.2,3.0,8413
1.5,3.0,8762
1.6,3.0,9027
1.5,3.0,9261
1.5,3.0,9422
1.4,3.0,9616
1.3,3.0,9810
1.6,3.0,10113
1.5,3.0,10374
1.6,3.0,10676
1.9,3.0,11023
1.6,3.0,11192
1.6,3.0,11427
1.5,3.0,11589
1.9,4.0,11945
1.9,4.0,12138
1.9,4.0,12421
1.6,4.0,12578
1.7,4.0,12914
1.4,4.0,13088
1.1,4.0,13258
1.6,5.0,13661
1.5,5.0,13883
1.5,5.0,14047
1.1,5.0,14214
1.0,5.0,14377
1.1,5.0,14661
1.1,5.0,14857
1.0,5.0,15125
1.1,5.0,15332
1.2,5.0,15525
0.8,2.0,15767
1.1,4.0,16122
1.3,4.0,16362
1.7,4.0,16755
1.9,4.0,17022
1.7,4.0,17184
1.8,4.0,17388
1.8,4.0,17652
1.7,4.0,17817
1.9,4.0,18131
1.9,4.0,18348
1.5,4.0,18507
1.3,4.0,18672
1.0,3.0,18867
1.1,3.0,19185
1.4,3.0,19489
1.5,3.0,19760
1.5,3.0,20022
1.7,3.0,20290
1.8,4.0,20667
1.7,4.0,20825
2.0,4.0,21098
2.1,4.0,21306
2.0,4.0,21467
1.9,4.0,21712
1.8,4.0,21982
1.9,4.0,22309
1.8,4.0,22534
1.6,4.0,22699
1.3,3.0,22904
1.6,3.0,23215
1.6,3.0,23545
1.5,3.0,23705
1.6,3.0,23910
1.5,3.0,24111
1.3,3.0,24271
1.2,3.0,24511
1.7,6.0,24964
1.8,6.0,25157
1.9,6.0,25400
1.8,6.0,25695
1.6,6.0,25914
1.6,6.0,26078
1.7,6.0,26344
1.7,6.0,26572
1.9,6.0,26825
2.1,6.0,27227
1.5,4.0,27395
1.4,4.0,27557
1.3,4.0,27774
1.6,5.0,28169
1.7,5.0,28448
1.7,5.0,28608
1.8,5.0,28885
1.9,5.0,29127
1.8,5.0,29331
1.6,5.0,29568
1.6,5.0,29733
1.6,5.0,29896
1.6,5.0,30126
1.4,3.0,30423
1.4,3.0,30711
1.5,3.0,30908
1.4,3.0,31169
1.4,3.0,31423
1.3,3.0,31587
1.5,4.0,31941
1.6,4.0,32142
1.9,4.0,32445
1.9,4.0,32642
1.7,4.0,32843
1.6,4.0,33046
1.6,4.0,33269
1.4,4.0,33426
1.3,4.0,33631
1.5,4.0,33901
1.3,3.0,34149
1.4,3.0,34434
1.2,2.0,34634
1.2,2.0,34870
1.1,2.0,35029
1.2,2.0,35291
1.1,2.0,35458
1.3,2.0,35720
1.4,2.0,35986
1.3,2.0,36189
1.4,3.0,36516
1.2,3.0,36673
1.3,3.0,36933
1.2,3.0,37094
1.6,4.0,37455
1.8,4.0,37796
2.1,4.0,38118
2.3,4.0,38468
2.3,4.0,38731
2.5,4.0,39045
2.4,4.0,39312
2.4,4.0,39469
2.3,4.0,39670
2.5,4.0,39935
2.3,4.0,40209
2.1,4.0,40494
2.0,4.0,40760
1.6,3.0,40923
1.4,3.0,41086
1.1,2.0,41250
1.1,2.0,41507
1.3,2.0,41793
1.4,2.0,42059
1.2,2.0,42223
1.0,2.0,42386
0.9,2.0,42614
1.0,3.0,42942
1.0,3.0,43106
1.3,3.0,43444
1.7,4.0,43838
1.6,4.0,44048
1.6,4.0,44309
1.6,4.0,44568
1.9,4.0,44895
2.0,4.0,45119
1.9,4.0,45279
1.6,4.0,45439
2.0,4.0,45830
1.9,4.0,46097
1.9,4.0,46479
2.1,4.0,46805
2.2,4.0,47131
2.2,4.0,47396
1.9,4.0,47560
1.9,4.0,47785
1.9,4.0,47946
2.1,4.0,48210
1.9,4.0,48447
1.9,4.0,48711
1.7,3.0,48977
1.6,3.0,49236
1.3,2.0,49398
1.5,4.0,49758
1.7,4.0,50023
2.1,5.0,50476
2.2,5.0,50674
2.2,5.0,50915
2.3,5.0,51239
2.4,5.0,51536
2.3,5.0,51760
2.4,5.0,52041
2.6,5.0,52278
2.4,5.0,52522
2.3,5.0,52721
2.1,3.0,53009
2.3,3.0,53284
2.5,4.0,53606
2.5,4.0,53880
2.4,4.0,54116
2.6,4.0,54397
2.5,4.0,54634
2.4,4.0,54836
2.7,5.0,55270
2.8,5.0,55517
2.8,5.0,55794
2.7,5.0,56033
2.4,5.0,56227
2.2,5.0,56427
2.2,5.0,56685
2.2,5.0,57014
3.0,10.0,57516
3.6,10.0,57846
3.4,10.0,58144
3.3,10.0,58342
3.3,10.0,58625
3.8,10.0,59124
3.8,10.0,59331
3.8,10.0,59533
3.8,10.0,59775
3.8,10.0,60061
3.1,7.0,60367
2.9,7.0,60779
2.9,7.0,61058
3.0,7.0,61296
3.0,7.0,61607
2.5,5.0,61851
2.6,5.0,62089
2.9,5.0,62487
2.9,5.0,62727
3.0,5.0,63066
3.1,5.0,63411
2.8,4.0,63655
2.7,4.0,63967
2.7,4.0,64253
2.7,4.0,64560
2.6,4.0,64763
2.6,4.0,65009
2.6,4.0,65464
2.4,4.0,65626
2.3,4.0,65933
2.2,4.0,66279
2.4,4.0,66628
2.5,4.0,66935
2.7,4.0,67305
3.2,8.0,67729
3.4,8.0,68059
3.4,8.0,68319
3.2,8.0,68583
3.9,8.0,68910
4.2,8.0,69364
4.0,8.0,69568
3.8,8.0,69830
4.2,8.0,70162
4.0,8.0,70409
3.5,7.0,70687
3.8,7.0,71112
4.4,8.0,71675
4.5,8.0,71971
4.1,8.0,72256
4.2,8.0,72733
4.9,8.0,73244
5.1,8.0,73587
4.8,8.0,73951
5.4,8.0,74343
5.7,8.0,74790
5.4,8.0,75094
4.9,8.0,75379
5.5,9.0,75858
6.0,9.0,76416
6.3,10.0,77057
5.8,10.0,77342
6.1,10.0,77828
6.5,10.0,78387
6.1,10.0,78727
5.8,10.0,79008
6.3,10.0,79560
6.2,10.0,79799
6.4,11.0,80321
5.7,11.0,80521
5.0,11.0,80804
5.4,11.0,81335
5.0,11.0,81643
4.9,11.0,82120
5.3,11.0,82616
5.4,11.0,82987
5.7,11.0,83490
6.2,11.0,83971
5.4,11.0,84251
5.9,11.0,84757
6.4,11.0,85302
6.4,11.0,85770
6.9,11.0,86294
6.6,11.0,86656
6.1,11.0,86946
6.6,11.0,87523
5.7,9.0,87764
5.6,9.0,88237
5.8,9.0,88644
5.7,9.0,89109
5.8,9.0,89717
5.5,9.0,90060
5.0,9.0,90364
4.8,9.0,90609
5.3,9.0,91172
5.1,9.0,91672
5.5,9.0,92105
5.9,10.0,92587
6.2,10.0,93181
6.4,10.0,93688
5.7,10.0,93932
5.5,10.0,94170
5.4,10.0,94409
5.9,10.0,94912
5.8,10.0,95455
5.8,10.0,95965
5.5,10.0,96248
4.7,8.0,96507
4.6,7.0,97020
4.2,7.0,97313
4.2,7.0,97548
4.3,7.0,97848
4.9,8.0,98428
4.9,8.0,98927
4.9,8.0,99421
4.7,8.0,99814
4.7,8.0,100093
5.2,8.0,100624
5.2,8.0,100952
5.8,9.0,101526
6.4,9.0,102076
6.9,9.0,102448
6.9,9.0,102808
6.9,9.0,103281
6.5,9.0,103589
6.3,9.0,103893
6.8,9.0,104424
6.7,9.0,104884
6.7,9.0,105344
6.1,8.0,105621
5.6,8.0,105893
5.0,8.0,106132
4.6,8.0,106482
4.5,8.0,106947
4.5,8.0,107258
5.0,8.0,107810
4.7,8.0,108231
4.8,8.0,108708
4.9,8.0,109292
5.2,8.0,109748
5.6,8.0,110244
5.9,8.0,110633
6.2,8.0,111115
6.6,10.0,111755
7.0,10.0,112253
6.5,10.0,112531
6.2,10.0,112898
5.8,10.0,113183
5.9,10.0,113764
5.9,10.0,114199
6.0,10.0,114746
6.3,10.0,115287
6.4,10.0,115808
6.7,13.0,116456
6.7,13.0,116948
6.8,13.0,117298
7.4,13.0,117867
7.8,13.0,118368
7.0,13.0,118586
7.0,13.0,119047
6.8,13.0,119505
6.4,13.0,119883
6.4,13.0,120437
5.8,8.0,120939
5.9,8.0,121482
6.3,8.0,122028
6.4,9.0,122618
6.6,9.0,123193
7.2,9.0,123693
7.2,9.0,124144
7.2,9.0,124582
7.6,9.0,125106
7.0,9.0,125367
7.2,9.0,126010
