mean_score,max_score,steps
2.0,2.0,260
1.5,2.0,483
1.3333333333333333,2.0,694
1.5,2.0,951
1.2,2.0,1112
1.0,2.0,1269
1.1428571428571428,2.0,1515
1.0,2.0,1679
1.1111111111111112,2.0,1939
1.1,2.0,2161
1.0,2.0,2364
1.1,2.0,2659
1.1,2.0,2884
1.1,2.0,3150
1.5,4.0,3487
1.6,4.0,3689
1.4,4.0,3848
1.7,4.0,4177
1.7,4.0,4468
1.6,4.0,4623
1.7,4.0,4886
1.5,4.0,5054
1.6,4.0,5320
1.4,4.0,5480
1.1,3.0,5679
1.1,3.0,5900
1.1,3.0,6065
0.9,2.0,6286
0.8,2.0,6491
0.8,2.0,6654
1.0,4.0,7049
1.1,4.0,7282
0.9,4.0,7439
1.4,5.0,7841
1.4,5.0,8077
1.7,5.0,8442
1.9,5.0,8729
2.0,5.0,8994
1.9,5.0,9162
1.9,5.0,9328
1.7,5.0,9591
1.8,5.0,9853
2.2,5.0,10213
1.7,4.0,10373
1.9,4.0,10704
1.5,4.0,10874
1.3,4.0,11040
1.3,4.0,11320
1.4,4.0,11550
1.5,4.0,11773
1.4,4.0,11998
1.4,4.0,12241
1.1,3.0,12459
1.4,3.0,12798
1.1,3.0,12958
1.2,3.0,13184
1.3,3.0,13404
1.3,3.0,13690
1.4,3.0,13953
1.3,3.0,14116
1.2,3.0,14275
1.3,3.0,14603
1.5,3.0,14932
1.2,3.0,15095
1.4,3.0,15393
1.5,3.0,15640
1.4,3.0,15807
1.5,3.0,16141
1.4,3.0,16379
1.7,3.0,16736
1.8,3.0,16956
1.5,3.0,17115
1.3,3.0,17338
1.5,3.0,17599
1.4,3.0,17822
1.3,3.0,18024
1.4,3.0,18246
1.2,3.0,18453
1.1,3.0,18615
0.8,2.0,18770
0.8,2.0,18989
1.1,3.0,19298
1.0,3.0,19464
0.9,3.0,19688
1.1,3.0,20013
1.0,3.0,20179
1.3,4.0,20515
1.3,4.0,20739
1.3,4.0,20906
1.6,4.0,21241
1.8,4.0,21563
1.7,4.0,21808
1.9,4.0,22092
2.2,4.0,22512
1.9,4.0,22675
1.9,4.0,22842
1.6,4.0,23066
1.6,4.0,23290
1.8,4.0,23550
1.6,4.0,23776
1.3,4.0,23941
1.7,6.0,24406
1.7,6.0,24668
1.5,6.0,24928
1.6,6.0,25151
1.6,6.0,25308
1.5,6.0,25469
1.6,6.0,25737
1.6,6.0,26030
1.6,6.0,26230
1.9,6.0,26569
1.3,3.0,26729
1.2,3.0,26955
1.0,3.0,27115
1.0,3.0,27337
1.5,5.0,27768
1.5,5.0,27932
1.6,5.0,28262
1.5,5.0,28485
1.8,5.0,28902
1.6,5.0,29140
1.7,5.0,29347
1.6,5.0,29507
1.6,5.0,29673
1.5,5.0,29830
1.1,4.0,30053
1.7,6.0,30543
1.4,6.0,30709
1.5,6.0,30971
1.1,6.0,31133
1.0,6.0,31296
1.0,6.0,31487
1.5,6.0,31932
1.8,6.0,32234
1.8,6.0,32397
1.9,6.0,32639
1.5,5.0,32935
1.6,5.0,33135
1.4,5.0,33294
1.4,5.0,33466
1.5,5.0,33662
1.6,5.0,33926
1.2,3.0,34147
1.4,5.0,34594
1.5,5.0,34798
1.4,5.0,35034
1.3,5.0,35264
1.2,5.0,35433
1.4,5.0,35696
1.4,5.0,35859
1.4,5.0,36094
1.4,5.0,36350
1.4,5.0,36580
1.2,3.0,36904
1.3,3.0,37153
1.4,3.0,37418
1.4,3.0,37612
1.6,3.0,37878
1.4,3.0,38034
1.4,3.0,38197
1.6,3.0,38494
1.6,3.0,38757
1.6,3.0,38984
1.6,3.0,39292
1.6,3.0,39557
1.4,3.0,39728
1.3,3.0,39889
1.1,3.0,40050
1.4,3.0,40370
1.4,3.0,40536
1.5,4.0,40906
1.3,4.0,41065
1.5,4.0,41371
1.2,4.0,41528
1.1,4.0,41751
1.1,4.0,41918
1.3,4.0,42214
1.3,4.0,42378
1.0,4.0,42534
1.1,4.0,42759
0.7,3.0,42922
0.7,3.0,43087
0.6,2.0,43380
0.7,2.0,43613
1.0,4.0,44027
1.1,4.0,44234
1.2,4.0,44555
1.4,4.0,44818
1.5,4.0,45043
1.4,4.0,45206
1.6,4.0,45462
1.8,4.0,45718
1.9,4.0,46045
2.0,4.0,46309
1.8,3.0,46599
2.0,3.0,46932
1.8,3.0,47161
1.9,3.0,47524
1.8,3.0,47678
1.8,3.0,47843
1.6,3.0,48001
1.6,3.0,48266
1.4,3.0,48493
1.3,3.0,48692
1.3,3.0,48994
1.3,3.0,49354
1.2,3.0,49510
1.3,4.0,49907
1.5,4.0,50202
1.5,4.0,50362
1.8,4.0,50671
1.7,4.0,50876
1.9,4.0,51211
2.2,4.0,51604
2.2,4.0,51871
2.0,4.0,52097
2.2,4.0,52386
2.0,4.0,52645
2.1,4.0,52957
